"skill","power","speed","uni","fen","dark","type","lv","str","agi","vit","ene","rec","job",,,,,,,"pet","weapon","attr","special"
"ソウルジエンド",45,7,8,9,-1,"魔法",0,0,0,0,220,0,0,1,0,1,0,0,0,,0,,0
"ヘルファイア",120,11,11,11,11,"魔法",0,0,0,0,260,0,0,1,0,1,0,0,0,,0,"炎",0
"シャイニングブラスト",70,7,8,9,-1,"魔法",0,0,0,0,500,0,0,1,0,1,0,0,0,,0,"稲妻",0
"インフェルノ",100,10,10,10,10,"魔法",0,0,0,0,724,0,0,1,0,1,0,0,0,,0,"炎",0
"サドゥンアイス",80,7,8,9,-1,"魔法",150,0,0,0,849,0,0,1,0,0,0,0,0,,0,"氷",6
"デスポイズン",95,7,8,9,-1,"魔法",150,0,0,0,953,0,0,1,0,0,0,0,0,,0,"毒",0
"ヘルバースト",1320,0,0,0,0,"魔法",150,0,0,0,1052,0,0,1,0,0,0,0,0,,0,"炎",1
"乱れ撃ち",0,12,12,12,12,"スキル",0,0,0,0,0,0,0,0,1,0,0,0,0,,1,,8
"スティンガー",70,0,0,0,0,"スキル",130,0,0,0,0,0,0,0,1,0,0,0,0,,0,"風",0
"アイスアロー",105,12,0,0,-1,"スキル",0,0,646,0,0,0,0,0,1,0,0,0,0,,0,"氷",0
"マルチショット",40,12,12,12,12,"スキル",220,0,0,0,0,0,0,0,1,0,0,0,0,,0,,8
"パワースラッシュ",0,1,-1,-1,-1,"スキル",0,0,0,0,0,0,0,0,0,1,0,0,0,,1,,0
"ブラッドアタック",80,13,13,13,13,"スキル",0,596,0,0,0,0,0,0,0,1,0,0,0,,0,"毒",0
"フレイムストライク",140,26,26,26,26,"スキル",220,0,0,0,0,0,0,0,0,1,0,0,0,,0,"炎",0
"ギガンティックストーム",110,22,22,22,22,"魔法",220,0,0,0,1058,0,0,0,0,1,0,0,0,,0,"風",0
"フォース",10,14,15,0,15,"スキル",0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0
"フォースウェーブ",50,14,15,0,15,"スキル",0,0,0,0,0,0,0,0,0,0,1,0,0,,1,,0
"ファイアバースト",100,14,15,0,15,"スキル",0,0,0,0,79,0,0,0,0,0,1,0,0,,0,,0
"エレクトリックスパーク",250,0,0,0,0,"スキル",0,0,0,0,126,340,0,0,0,0,1,0,0,,0,,0
"ファイアスクリーム",130,1,16,0,17,"スキル",0,0,0,0,150,70,0,0,0,0,1,0,0,,0,,0
"カオティックディセイアー",140,1,16,0,17,"スキル",220,0,0,0,84,0,0,0,0,0,1,0,0,,0,,5
"アースシェイク",150,29,29,29,29,"スキル",0,0,0,0,0,0,0,0,0,0,1,0,0,"ダークホース",0,"稲妻",2
"ライフドレイン",35,20,21,0,-1,"魔法",0,0,0,0,150,0,0,0,0,0,0,1,0,,0,,0
"チェーンライトニング",70,18,19,0,-1,"魔法",0,0,0,0,245,0,0,0,0,0,0,1,0,,0,"稲妻",0
"ライトニングショック",95,25,25,25,25,"魔法",0,0,0,0,823,0,0,0,0,0,0,1,0,,0,"稲妻",0
"エクスプロージョン",40,28,28,28,28,"魔法",0,0,0,0,0,0,0,0,0,0,0,1,0,,1,"炎",3
"レクイエム",65,28,28,28,28,"魔法",0,0,0,0,0,0,0,0,0,0,0,1,0,,1,"風",3
"ポリューション",80,28,28,28,28,"魔法",0,0,0,0,0,0,0,0,0,0,0,1,0,,1,,3
"フレイムハンド(単体)",0,27,27,27,27,"魔法",0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,4
"フレイムハンド(範囲)",0,27,27,27,27,"魔法",0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,4
"プラズマストーム",60,24,24,24,24,"スキル",0,0,0,0,0,0,1,1,1,1,1,1,0,"フェンリル",0,,0
"クリングブロー",0,1,1,1,1,"スキル",0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,10
"ビーストアッパー",0,1,1,1,1,"スキル",0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,10
"チェーンドライブ",0,1,1,1,1,"スキル",150,0,0,0,0,0,0,0,0,0,0,0,1,,0,,10
"ダークサイド",0,1,1,1,1,"スキル",180,0,0,0,0,0,0,0,0,0,0,0,1,,0,,11
"ドラゴンロアー",0,1,1,1,1,"スキル",150,0,0,0,0,0,0,0,0,0,0,0,1,,0,,12
"ドラゴンスラッシャー",20,1,1,1,1,"スキル",200,0,0,0,0,0,0,0,0,0,0,0,1,,0,,12
"フェニックスショット",30,1,1,1,1,"スキル",0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,10
