"item","label","kind","type","hand","jobK","jobW","jobE","jobM","jobD","jobS","jobR","lv","speed","skill","min","max","magic","pet","noroi","exmin","exmax","exmagic","expet","exnoroi","setmin","setmax","setmagic","setpet","setnoroi","str","inc","agi","inc","vit","inc","ene","inc","rec","inc","exstr","inc","exagi","inc","exvit","inc","exene","inc","exrec","inc","ex_en_type","option",
"武器","ゴールドアックス","通常","ハンマー","両手",1,0,0,1,0,0,0,0,25,"烈斬",54,67,-1,-1,-1,88,101,-1,-1,-1,,,,,,213.14,12.62,0,-1,,,-1,-1,,,318.14,12.62,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","クレセント","通常","ハンマー","両手",1,1,0,1,0,0,0,0,30,"烈斬",69,89,-1,-1,-1,105,125,-1,-1,-1,,,,,,182.13,8.99,84.76,3.62,,,-1,-1,,,257.13,8.99,114.76,3.62,,,-1,-1,,,0,"攻撃",4
"武器","カオスドラゴンアックス","通常","ハンマー","両手",1,0,0,1,0,0,0,0,35,"ファイナルスラッシュ",102,130,-1,-1,-1,117,145,-1,-1,-1,,,,,,335,12.6,132.46,4.54,,,-1,-1,,,440,12.6,170,4.5,,,-1,-1,,,0,"攻撃",4
"武器","メイス","通常","ハンマー","片手",1,0,0,1,1,0,1,0,15,"-",7,13,-1,-1,-1,37,43,-1,-1,-1,,,,,,41.13,8.99,0,-1,,,-1,-1,,,116.13,8.99,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","モーニングスター","通常","ハンマー","片手",1,0,0,1,1,0,1,0,15,"烈斬",13,22,-1,-1,-1,43,52,-1,-1,-1,49,58,-1,-1,-1,59.13,8.99,0,-1,,,-1,-1,,,134.13,8.99,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","フレイル","通常","ハンマー","片手",1,0,0,1,1,0,0,0,15,"-",22,32,-1,-1,-1,52,62,-1,-1,-1,,,,,,72.78,7.22,53,4.5,,,-1,-1,,,132.78,7.22,90.46,4.54,,,-1,-1,,,0,"攻撃",4
"武器","グレートハンマー","通常","ハンマー","両手",1,0,0,1,0,0,0,0,15,"烈斬",45,56,-1,-1,-1,79,90,-1,-1,-1,,,,,,191,13.5,0,-1,,,-1,-1,,,303.46,13.54,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","クリスタルモーニングスター","通常","ハンマー","両手",1,1,1,1,0,0,1,0,30,"烈斬",78,107,-1,-1,-1,112,141,-1,-1,-1,,,,,,277.28,11.72,0,-1,,,-1,-1,,,374.87,11.71,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","エレメンタルメイス","通常","ハンマー","片手",0,0,1,0,0,0,0,0,50,"-",62,80,-1,-1,-1,84,102,-1,-1,-1,,,,,,60.22,1.39,133.19,3.81,,,-1,-1,,,71.64,1.36,164.84,3.79,,,-1,-1,,,0,"攻撃",4
"武器","グレイヴ","通常","槍","両手",1,0,1,1,0,0,0,0,30,"-",19,31,-1,-1,-1,60,72,-1,-1,-1,,,,,,47.03,6.33,39.46,4.54,,,-1,-1,,,99.68,6.33,77,4.5,,,-1,-1,,,0,"攻撃",4
"武器","ドラゴンランス","通常","槍","両手",1,0,1,1,0,0,0,0,30,"-",21,33,-1,-1,-1,61,73,-1,-1,-1,,,,,,51.35,6.33,42.46,4.54,,,-1,-1,,,104,6.3,80,4.5,,,-1,-1,,,0,"攻撃",4
"武器","ハルベルト","通常","槍","両手",1,0,1,1,0,0,0,0,30,"-",25,35,-1,-1,-1,62,72,-1,-1,-1,,,,,,59.69,6.33,48.46,4.54,,,-1,-1,,,112.34,6.33,86,4.5,,,-1,-1,,,0,"攻撃",4
"武器","パルチザン","通常","槍","両手",1,0,1,1,0,0,0,0,30,"-",30,41,-1,-1,-1,67,78,-1,-1,-1,,,,,,68.03,6.33,54.46,4.54,,,-1,-1,,,120.68,6.33,92,4.5,,,-1,-1,,,0,"攻撃",4
"武器","トライデント","通常","槍","両手",1,0,1,1,0,0,0,0,25,"-",35,43,-1,-1,-1,70,78,-1,-1,-1,,,,,,98,8.15,46,2.72,,,-1,-1,,,165.78,8.11,68.58,2.71,,,-1,-1,,,0,"攻撃",4
"武器","バルディッシュ","通常","槍","両手",1,0,1,1,0,0,0,0,30,"真空斬り",42,54,-1,-1,-1,75,87,-1,-1,-1,,,,,,108.78,7.22,75.46,4.54,,,-1,-1,,,168.78,7.22,113,4.5,,,-1,-1,,,0,"攻撃",4
"武器","閃光の薙刀","通常","槍","両手",1,0,1,1,0,0,0,0,25,"真空斬り",50,63,-1,-1,-1,84,97,-1,-1,-1,,,,,,95.59,5.41,108.02,6.33,,,-1,-1,,,140.59,5.41,160.67,6.33,,,-1,-1,,,0,"攻撃",4
"武器","ロンギヌスの槍","通常","槍","両手",1,0,1,1,0,0,0,0,20,"牙突",58,80,-1,-1,-1,94,112,-1,-1,-1,,,,,,144,8.13,61.28,2.72,,,-1,-1,,,211.67,8.11,83.87,2.71,,,-1,-1,,,0,"攻撃",4
"武器","グレートサイド","通常","槍","両手",1,0,1,1,0,0,0,0,25,"真空斬り",71,92,-1,-1,-1,108,129,-1,-1,-1,,,,,,165.78,8.11,101,4.5,,,-1,-1,,,233,8.15,138.46,4.54,,,-1,-1,,,0,"攻撃",4
"武器","バルロックの鎌","通常","槍","両手",1,0,1,1,0,0,0,0,25,"真空斬り",76,102,-1,-1,-1,111,137,-1,-1,-1,,,,,,171.12,7.22,114.46,4.54,,,-1,-1,,,231.12,7.22,152,4.5,,,-1,-1,,,0,"攻撃",4
"武器","ドラゴンスピアー","通常","槍","両手",1,0,0,0,0,0,0,0,35,"真空斬り",112,140,-1,-1,-1,147,175,-1,-1,-1,,,,,,489.02,15.33,185.59,5.41,,,-1,-1,,,616.67,15.33,230.59,5.41,,,-1,-1,,,0,"攻撃",4
"武器","ブロバー","通常","槍","両手",1,0,0,1,0,0,0,0,40,"真空斬り",190,226,-1,-1,-1,227,263,-1,-1,-1,,,,,,690.31,13.69,130.16,2.28,,,-1,-1,,,804,-1,149,-1,,,-1,-1,,,0,"攻撃",4
"武器","ショートボウ","通常","弓","左手",0,0,1,0,0,0,0,0,30,"乱れ撃ち",3,5,-1,-1,-1,45,47,-1,-1,-1,,,,,,21.19,1.81,24.78,7.22,,,-1,-1,,,36.19,1.81,84.78,7.22,,,-1,-1,,,0,"攻撃",4
"武器","ロングボウ","通常","弓","左手",0,0,1,0,0,0,0,0,30,"乱れ撃ち",9,13,-1,-1,-1,42,46,-1,-1,-1,,,,,,27.16,2.71,41.56,8.11,,,-1,-1,,,49.56,2.72,109,8.12,,,-1,-1,,,0,"攻撃",4
"武器","エルフの弓","通常","弓","左手",0,0,1,0,0,0,0,0,30,"乱れ撃ち",17,24,-1,-1,-1,48,55,-1,-1,-1,,,,,,34.28,2.72,63,8.13,,,-1,-1,,,56.87,2.71,130.67,8.11,,,-1,-1,,,0,"攻撃",4
"武器","飛冴弓","通常","弓","左手",0,0,1,0,0,0,0,0,30,"乱れ撃ち",28,37,-1,-1,-1,59,68,-1,-1,-1,,,,,,43.28,2.72,90,8.13,,,-1,-1,,,65.87,2.71,157.67,8.11,,,-1,-1,,,0,"攻撃",4
"武器","白虎の弓","通常","弓","左手",0,0,1,0,0,0,0,0,30,"乱れ撃ち",42,52,-1,-1,-1,73,83,-1,-1,-1,,,,,,56,2.7,140.13,8.99,,,-1,-1,,,78.45,2.71,215.13,8.99,,,-1,-1,,,0,"攻撃",4
"武器","プラチナボウ","通常","弓","左手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",59,71,-1,-1,-1,90,102,-1,-1,-1,97,109,-1,-1,-1,70.28,2.72,188.13,8.99,,,-1,-1,,,92.87,2.71,263.13,8.99,,,-1,-1,,,0,"攻撃",4
"武器","カオスネイチャーボウ","通常","弓","左手",0,0,1,0,0,0,0,0,35,"乱れ撃ち",88,106,-1,-1,-1,118,136,-1,-1,-1,,,,,,110,3.6,357.46,13.54,,,-1,-1,,,140,3.6,470,13.5,,,-1,-1,,,0,"攻撃",4
"武器","ホーリーサイトボウ","通常","弓","左手",0,0,1,0,0,0,0,0,35,"乱れ撃ち",127,155,-1,-1,-1,166,194,-1,-1,-1,,,,,,169,4.86,566.3,17.85,,,-1,-1,,,209.36,4.88,714.75,17.85,,,-1,-1,,,0,"攻撃",4
"武器","アルバトロスボウ","通常","弓","左手",0,0,1,0,0,0,0,0,45,"乱れ撃ち",155,177,-1,-1,-1,195,217,-1,-1,-1,,,,,,218,5.4,894.39,23.87,,,-1,-1,,,263,5.4,1093.13,23.87,,,-1,-1,,,0,"攻撃",4
"武器","ヴァイパー","通常","弓","左手",0,0,1,0,0,0,0,0,45,"乱れ撃ち",166,190,-1,-1,-1,201,225,-1,-1,-1,,,,,,230.45,4.71,1012.13,21.99,,,-1,-1,,,269.45,4.71,1196.13,21.99,,,-1,-1,,,0,"攻撃",4
"武器","シルフィードボウ","通常","弓","左手",0,0,1,0,0,0,0,380,45,"乱れ撃ち",177,200,-1,-1,-1,212,235,-1,-1,-1,,,,,,222.86,4.14,946.1,18.9,,,-1,-1,,,257.2,4.16,1103.06,18.99,,,-1,-1,,,0,"攻撃",4
"武器","エアリンボウ","通常","弓","左手",0,0,1,0,0,0,0,0,45,"乱れ撃ち",170,194,-1,-1,-1,203,227,-1,-1,-1,,,,,,236,4.42,1016.64,20.36,,,-1,-1,,,272.68,4.44,1186.28,20.36,,,-1,-1,,,0,"攻撃",4
"武器","クロスボウ","通常","ボウガン","右手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",5,8,-1,-1,-1,41,44,-1,-1,-1,,,,,,22.38,1.81,30.78,8.11,,,-1,-1,,,37.38,1.81,98,8.15,,,-1,-1,,,0,"攻撃",4
"武器","ガストラ","通常","ボウガン","右手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",13,19,-1,-1,-1,45,51,-1,-1,-1,51,57,-1,-1,-1,30.74,2.71,52.16,8.14,,,-1,-1,,,53.29,2.71,119.89,8.11,,,-1,-1,,,0,"攻撃",4
"武器","アキュバス","通常","ボウガン","右手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",22,30,-1,-1,-1,54,62,-1,-1,-1,,,,,,38,2.7,74,8.1,,,-1,-1,,,60.45,2.71,141.4,8.12,,,-1,-1,,,0,"攻撃",4
"武器","ライトニングボウ","通常","ボウガン","右手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",35,44,-1,-1,-1,67,76,-1,-1,-1,,,,,,48.74,2.71,106.16,8.14,,,-1,-1,,,71.29,2.71,173.89,8.11,,,-1,-1,,,0,"攻撃",4
"武器","神臂弓","通常","ボウガン","右手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",50,61,-1,-1,-1,81,92,-1,-1,-1,,,,,,63.16,2.71,164.13,8.99,,,-1,-1,,,85.56,2.72,239.13,8.99,,,-1,-1,,,0,"攻撃",4
"武器","セイレーン","通常","ボウガン","右手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",68,82,-1,-1,-1,98,112,-1,-1,-1,,,,,,101.52,3.62,244.04,9.99,,,-1,-1,,,131.52,3.62,326.09,9.99,,,-1,-1,,,0,"攻撃",4
"武器","ダイダロス","通常","ボウガン","右手",0,0,1,0,0,0,0,0,30,"乱れ撃ち",78,92,-1,-1,-1,110,124,-1,-1,-1,,,,,,128,4.5,300.74,11.71,,,-1,-1,,,165.46,4.54,398.29,11.71,,,-1,-1,,,0,"攻撃",4
"武器","アルテミス","通常","ボウガン","右手",0,0,1,0,0,0,0,0,35,"乱れ撃ち",102,127,-1,-1,-1,137,162,-1,-1,-1,,,,,,146,4.5,423.16,14.42,,,-1,-1,,,183.46,4.54,543.16,14.42,,,-1,-1,,,0,"攻撃",4
"武器","アークエンジェルボウ(旧)","通常","ボウガン","右手",0,0,1,0,0,0,0,0,35,"乱れ撃ち",144,166,-1,-1,-1,144,166,-1,-1,-1,,,,,,140,3.6,350,9.9,,,-1,-1,,,140,3.6,350,9.9,,,-1,-1,,,0,"攻撃",4
"武器","アークエンジェルボウ(新)","通常","ボウガン","右手",0,0,1,0,0,0,0,0,45,"乱れ撃ち",224,246,-1,-1,-1,224,246,-1,-1,-1,,,,,,140,3.6,350,9.9,,,-1,-1,,,140,3.6,350,9.9,,,-1,-1,,,0,"攻撃",4
"武器","グレートレインボウ","通常","ボウガン","右手",0,0,1,0,0,0,0,0,40,"乱れ撃ち",150,172,-1,-1,-1,192,214,-1,-1,-1,,,,,,203,5.47,875,25.64,,,-1,-1,,,248.46,5.54,1088.7,25.66,,,-1,-1,,,0,"攻撃",4
"武器","骸骨の杖","通常","杖","片手",0,1,0,1,0,1,0,0,20,"-",3,4,3,-1,-1,20,21,18,-1,-1,25,26,19,-1,-1,27.14,3.62,0,-1,,,-1,-1,,,57.14,3.62,0,-1,,,-1,-1,,,1,"魔力",4
"武器","天使の杖","通常","杖","両手",0,1,0,1,0,0,0,0,25,"-",10,12,10,-1,-1,28,30,26,-1,-1,,,,,,47,4.5,0,-1,,,-1,-1,,,84.46,4.54,0,-1,,,-1,-1,,,1,"魔力",4
"武器","蛇神の杖","通常","杖","両手",0,1,0,1,0,0,0,0,25,"-",17,18,17,-1,-1,36,37,33.5,-1,-1,,,,,,65,4.5,0,-1,,,-1,-1,,,102.46,4.54,0,-1,,,-1,-1,,,1,"魔力",4
"武器","稲妻の杖","通常","杖","両手",0,1,0,1,0,0,0,0,25,"-",23,25,23,-1,-1,41,43,39,-1,-1,,,,,,70.38,3.62,32.06,0.99,,,-1,-1,,,100.38,3.62,40.1,0.9,,,-1,-1,,,1,"魔力",4
"武器","ゴルゴンの杖","通常","杖","両手",0,1,0,1,0,0,0,0,25,"-",29,32,29,-1,-1,47,50,45,-1,-1,,,,,,98,4.5,0,-1,,,-1,-1,,,135.46,4.54,0,-1,,,-1,-1,,,1,"魔力",4
"武器","オーディーンの杖","通常","杖","片手",0,1,0,1,0,0,0,0,25,"-",29,31,29.5,-1,-1,46,48,44.5,-1,-1,,,,,,108.46,4.54,0,-1,,,-1,-1,,,146,4.5,0,-1,,,-1,-1,,,1,"魔力",4
"武器","フェンリルの杖","通常","杖","片手",0,1,0,1,0,0,0,0,25,"-",35,39,35,-1,-1,52,56,50,-1,-1,,,,,,146,5.4,41,0.9,,,-1,-1,,,191,5.4,48.05,0.99,,,-1,-1,,,1,"魔力",4
"武器","カオスサンダースタッフ","通常","杖","両手",0,1,0,1,0,0,0,0,30,"-",47,48,47,-1,-1,72,73,59.5,-1,-1,,,,,,155,5.4,42.05,0.99,,,-1,-1,,,200,5.4,50,0.9,,,-1,-1,,,1,"魔力",4
"武器","破壊の杖","通常","杖","両手",0,1,0,1,0,0,0,0,30,"-",50,54,50.5,-1,-1,68,72,67,-1,-1,,,,,,182,5.4,47,0.9,,,-1,-1,,,227,5.4,54.05,0.99,,,-1,-1,,,1,"魔力",4
"武器","ルシファーの杖","通常","杖","片手",0,1,0,0,0,0,0,0,30,"-",46,48,46,-1,-1,62,64,60,-1,-1,,,,,,176,4.67,68,1.43,,,-1,-1,,,215,4.67,80,1.43,,,-1,-1,,,1,"魔力",4
"武器","アークエンジェルスタッフ(旧)","通常","杖","片手",0,1,0,1,0,0,0,0,20,"-",53,55,53,-1,-1,53,55,53,-1,-1,,,,,,132.32,3.24,32.27,0.39,,,-1,-1,,,132.32,3.24,32.27,0.39,,,-1,-1,,,1,"魔力",4
"武器","アークエンジェルスタッフ(新)","通常","杖","片手",0,1,0,1,0,0,0,0,30,"-",153,155,78,-1,-1,153,155,78,-1,-1,,,,,,132.32,3.24,32.27,0.39,,,-1,-1,,,132.32,3.24,32.27,0.39,,,-1,-1,,,1,"魔力",4
"武器","プラチナスタッフ","通常","杖","片手",0,1,0,0,0,0,0,0,30,"-",51,53,60,-1,-1,67,69,76,-1,-1,,,,,,185,4.5,72.55,1.49,,,-1,-1,,,222.46,4.54,84.55,1.49,,,-1,-1,,,1,"魔力",4
"武器","クンドンの杖","通常","杖","片手",0,1,0,1,0,0,0,0,30,"-",55,61,55,-1,-1,69,75,67,-1,-1,,,,,,209.13,3.99,87.1,1.45,,,-1,-1,,,242.4,4.12,99.1,1.45,,,-1,-1,,,1,"魔力",4
"武器","グランドヴァイパーの杖","通常","杖","片手",0,1,0,0,0,0,0,380,30,"-",66,74,65,-1,-1,82,90,78.5,-1,-1,,,,,,191.92,3.54,77.24,1.19,,,-1,-1,,,221,3.5,87,1.17,,,-1,-1,,,1,"魔力",4
"武器","クロマチックスタッフ","通常","杖","片手",0,1,0,1,0,0,0,0,30,"-",55,57,62,-1,-1,69,71,75,-1,-1,,,,,,240.46,4.54,72.92,1.08,,,-1,-1,,,278,4.5,81.13,0.99,,,-1,-1,,,1,"魔力",4
"武器","バトルセプター","通常","セプター","片手",0,0,0,0,1,0,0,0,45,"フォースウェーブ",41,52,-1,1.5,-1,64,75,-1,4.5,-1,,,,,,149.56,7.22,47.46,1.54,,,-1,-1,,,209.56,7.22,60,1.58,,,-1,-1,,,0,"攻撃",4
"武器","マスターセプター","通常","セプター","片手",0,0,0,0,1,0,0,0,45,"フォースウェーブ",57,68,-1,10,-1,81,92,-1,15.5,-1,,,,,,207.75,7.85,58.74,1.63,,,-1,-1,,,273.17,7.83,72.38,1.62,,,-1,-1,,,0,"攻撃",4
"武器","グレートセプター","通常","セプター","片手",0,0,0,0,1,0,0,0,45,"フォースウェーブ",74,85,-1,17.5,-1,101,112,-1,25,-1,,,,,,266.13,8.99,71.06,1.99,,,-1,-1,,,341.13,8.99,87.33,1.89,,,-1,-1,,,0,"攻撃",4
