"item","label","kind","type","jobK","jobW","jobE","jobM","jobD","jobS","jobR","lv","speed","series","spec","exspec","setspec","str","inc","agi","inc","vit","inc","ene","inc","rec","inc","exstr","inc","exagi","inc","exvit","inc","exene","inc","exrec","inc","ex_en_type","option",
"防具","ミスリルブーツ","通常","足",1,0,0,1,0,0,1,0,0,"ミスリル",10,23,28,116.13,8.99,48.74,2.71,,,-1,-1,,,191.13,8.99,71.29,2.71,,,-1,-1,,,2,"防御",4
"防具","ミスリルガーダー","通常","腰",1,0,0,1,0,0,1,0,0,"ミスリル",18,35,40,125.13,8.99,51.45,2.71,,,-1,-1,,,200.13,8.99,74,2.7,,,-1,-1,,,2,"防御",4
"防具","ミスリルグラブ","通常","手",1,0,0,1,0,0,0,0,8,"ミスリル",9,22,27,116.13,8.99,48.74,2.71,,,-1,-1,,,191.13,8.99,71.29,2.71,,,-1,-1,,,2,"防御",4
"防具","ミスリルの兜","通常","兜",1,0,0,1,0,0,1,0,0,"ミスリル",17,33,38,128.13,8.99,52.28,2.72,,,-1,-1,,,203.13,8.99,74.87,2.71,,,-1,-1,,,2,"防御",4
"防具","鋼鉄の鎧","通常","鎧",1,0,0,1,0,0,1,0,0,"鋼鉄",30,50,55,207.16,11.71,0,-1,,,-1,-1,,,304.56,11.72,0,-1,,,-1,-1,,,2,"防御",4
"防具","鋼鉄のブーツ","通常","足",1,0,0,1,0,0,1,0,0,"鋼鉄",12,27,32,183.74,11.71,0,-1,,,-1,-1,,,281.29,11.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","鋼鉄のガーダー","通常","腰",1,0,0,1,0,0,1,0,0,"鋼鉄",22,40,45,195.45,11.71,0,-1,,,-1,-1,,,293,11.7,0,-1,,,-1,-1,,,2,"防御",4
"防具","鋼鉄のグラブ","通常","手",1,0,0,1,0,0,0,0,4,"鋼鉄",12,27,32,183.74,11.71,0,-1,,,-1,-1,,,281.29,11.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","鋼鉄の兜","通常","兜",1,0,0,1,0,0,1,0,0,"鋼鉄",20,38,43,199.28,11.72,0,-1,,,-1,-1,,,296.87,11.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","ドラゴンアーマー","通常","鎧",1,0,0,1,0,0,0,0,0,"ドラゴン",37,59,64,232.38,10.81,73,2.72,,,-1,-1,,,322.38,10.81,95.58,2.71,,,-1,-1,,,2,"防御",4
"防具","ドラゴンブーツ","通常","足",1,0,0,1,0,0,0,0,0,"ドラゴン",15,32,37,214.38,10.81,68.58,2.71,,,-1,-1,,,304.38,10.81,91,2.72,,,-1,-1,,,2,"防御",4
"防具","ドラゴンガーダー","通常","腰",1,0,0,1,0,0,0,0,0,"ドラゴン",26,46,51,218,10.8,69.45,2.71,,,-1,-1,,,308,10.8,92,2.7,,,-1,-1,,,2,"防御",4
"防具","ドラゴングラブ","通常","手",1,0,0,1,0,0,0,0,6,"ドラゴン",14,31,36,207.19,10.81,66.74,2.71,,,-1,-1,,,297.19,10.81,89.29,2.71,,,-1,-1,,,2,"防御",4
"防具","ドラゴンヘルム","通常","兜",1,0,0,1,0,0,0,0,0,"ドラゴン",24,44,49,225.19,10.81,71.29,2.71,,,-1,-1,,,315.19,10.81,93.74,2.71,,,-1,-1,,,2,"防御",4
"防具","アッシュクローアーマー","通常","鎧",1,0,0,0,0,0,0,0,0,"アッシュクロー",42,67,,380,14.4,132.46,4.54,,,-1,-1,,,500,14.4,170,4.5,,,-1,-1,,,2,"防御",4
"防具","アッシュクローブーツ","通常","足",1,0,0,0,0,0,0,0,0,"アッシュクロー",19,39,,346.32,14.42,122,4.5,,,-1,-1,,,466.32,14.42,159.46,4.54,,,-1,-1,,,2,"防御",4
"防具","アッシュクローガーダー","通常","腰",1,0,0,0,0,0,0,0,0,"アッシュクロー",33,55,,351.16,14.42,123.46,4.54,,,-1,-1,,,471.16,14.42,161,4.5,,,-1,-1,,,2,"防御",4
"防具","アッシュクローグラブ","通常","手",1,0,0,0,0,0,0,0,6,"アッシュクロー",18,37,,312.74,14.42,111.46,4.54,,,-1,-1,,,432.74,14.42,149,4.5,,,-1,-1,,,2,"防御",4
"防具","アッシュクローヘルム","通常","兜",1,0,0,0,0,0,0,0,0,"アッシュクロー",27,48,,341.59,14.41,120.46,4.54,,,-1,-1,,,461.59,14.41,158,4.5,,,-1,-1,,,2,"防御",4
"防具","ブラックドラゴンアーマー","通常","鎧",1,0,0,0,0,0,0,0,0,"ブラックドラゴン",48,76,83,479,15.3,182,5.4,,,-1,-1,,,606.35,15.33,227,5.4,,,-1,-1,,,2,"防御",4
"防具","ブラックドラゴンブーツ","通常","足",1,0,0,0,0,0,0,0,0,"ブラックドラゴン",24,46,52,417.68,15.33,160.32,5.42,,,-1,-1,,,545.03,15.33,205.32,5.42,,,-1,-1,,,2,"防御",4
"防具","ブラックドラゴンガーダー","通常","腰",1,0,0,0,0,0,0,0,0,"ブラックドラゴン",40,65,72,448.34,15.33,171.16,5.42,,,-1,-1,,,575.69,15.33,216.16,5.42,,,-1,-1,,,2,"防御",4
"防具","ブラックドラゴングラブ","通常","手",1,0,0,0,0,0,0,0,6,"ブラックドラゴン",22,44,50,407.36,15.33,156.74,5.42,,,-1,-1,,,535.01,15.33,201.74,5.42,,,-1,-1,,,2,"防御",4
"防具","ブラックドラゴンヘルム","通常","兜",1,0,0,0,0,0,0,0,0,"ブラックドラゴン",30,54,60,438.02,15.33,167.59,5.41,,,-1,-1,,,565.67,15.33,212.59,5.41,,,-1,-1,,,2,"防御",4
"防具","フェニックスの鎧","通常","鎧",1,0,0,0,0,0,0,0,0,"フェニックス",63,94,102,662,19.25,215,5.85,,,-1,-1,,,822.46,19.27,263.75,5.85,,,-1,-1,,,2,"防御",4
"防具","フェニックスのブーツ","通常","足",1,0,0,0,0,0,0,0,0,"フェニックス",40,67,74,572.34,17.83,187.32,5.42,,,-1,-1,,,720.85,17.83,232.32,5.42,,,-1,-1,,,2,"防御",4
"防具","フェニックスのガーダー","通常","腰",1,0,0,0,0,0,0,0,0,"フェニックス",54,83,91,616.02,18.66,201.31,5.69,,,-1,-1,,,771.37,18.63,248.62,5.69,,,-1,-1,,,2,"防御",4
"防具","フェニックスのグラブ","通常","手",1,0,0,0,0,0,0,0,6,"フェニックス",37,63,70,548.57,18.49,182.31,5.69,,,-1,-1,,,702.53,18.49,229.62,5.69,,,-1,-1,,,2,"防御",4
"防具","フェニックスの兜","通常","兜",1,0,0,0,0,0,0,0,0,"フェニックス",43,70,78,585.55,18.49,191.05,5.59,,,-1,-1,,,739.55,18.45,237.38,5.62,,,-1,-1,,,2,"防御",4
"防具","グレートドラゴンアーマー","通常","鎧",1,0,0,0,0,0,0,0,0,"グレートドラゴン",75,111,,776.13,17.99,239.08,5.24,,,-1,-1,,,926.13,17.99,282.56,5.24,,,-1,-1,,,2,"防御",4
"防具","グレートドラゴンブーツ","通常","足",1,0,0,0,0,0,0,0,0,"グレートドラゴン",50,79,,608.13,17.99,190.32,5.24,,,-1,-1,,,758.13,17.99,234,5.23,,,-1,-1,,,2,"防御",4
"防具","グレートドラゴンガーダー","通常","腰",1,0,0,0,0,0,0,0,0,"グレートドラゴン",65,97,,698.13,17.99,216.52,5.24,,,-1,-1,,,848.13,17.99,260.12,5.22,,,-1,-1,,,2,"防御",4
"防具","グレートドラゴングラブ","通常","手",1,0,0,0,0,0,0,0,6,"グレートドラゴン",48,76,,584.13,17.99,183.56,5.22,,,-1,-1,,,734.13,17.99,227,5.23,,,-1,-1,,,2,"防御",4
"防具","グレートドラゴンヘルム","通常","兜",1,0,0,0,0,0,0,0,0,"グレートドラゴン",53,83,,644.13,17.99,200.8,5.24,,,-1,-1,,,794.13,17.99,244.32,5.24,,,-1,-1,,,2,"防御",4
"防具","ドラゴンナイトアーマー","通常","鎧",1,0,0,0,0,0,0,380,0,"ドラゴンナイト",88,127,,734,15.3,272,5.4,,,-1,-1,,,861.35,15.33,317,5.4,,,-1,-1,,,2,"防御",4
"防具","ドラゴンナイトブーツ","通常","足",1,0,0,0,0,0,0,380,0,"ドラゴンナイト",63,96,,626.69,15.33,234.16,5.42,,,-1,-1,,,754.34,15.33,279.16,5.42,,,-1,-1,,,2,"防御",4
"防具","ドラゴンナイトガーダー","通常","腰",1,0,0,0,0,0,0,380,0,"ドラゴンナイト",78,114,,703.34,15.33,261.16,5.42,,,-1,-1,,,830.69,15.33,306.16,5.42,,,-1,-1,,,2,"防御",4
"防具","ドラゴンナイトグラブ","通常","手",1,0,0,0,0,0,0,380,7,"ドラゴンナイト",60,92,,601.34,15.33,225.16,5.42,,,-1,-1,,,728.69,15.33,270.16,5.42,,,-1,-1,,,2,"防御",4
"防具","ドラゴンナイトヘルム","通常","兜",1,0,0,0,0,0,0,380,0,"ドラゴンナイト",66,102,,683,15.3,254,5.4,,,-1,-1,,,810.35,15.33,299,5.4,,,-1,-1,,,2,"防御",4
"防具","魔導の鎧","通常","鎧",0,1,0,1,0,0,0,0,0,"魔導",7,21,25,29,2.7,0,-1,,,-1,-1,,,51.45,2.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","魔導のブーツ","通常","足",0,1,0,1,0,0,0,0,0,"魔導",3,16,20,22.38,1.81,0,-1,,,-1,-1,,,37.38,1.81,0,-1,,,-1,-1,,,2,"防御",4
"防具","魔導のガーダー","通常","腰",0,1,0,1,0,0,0,0,0,"魔導",5,17,21,27.16,2.71,0,-1,,,-1,-1,,,49.56,2.72,0,-1,,,-1,-1,,,2,"防御",4
"防具","魔導のグラブ","通常","手",0,1,0,1,0,0,0,0,0,"魔導",2,14,18,21.68,1.83,0,-1,,,-1,-1,,,36.68,1.83,0,-1,,,-1,-1,,,2,"防御",4
"防具","魔導の兜","通常","兜",0,1,0,1,0,0,0,0,0,"魔導",4,18,22,23,1.8,0,-1,,,-1,-1,,,38,1.8,0,-1,,,-1,-1,,,2,"防御",4
"防具","骸骨の鎧","通常","鎧",0,1,0,1,0,0,0,0,0,"骸骨",13,28,32,46.38,3.62,0,-1,,,-1,-1,,,76.38,3.62,0,-1,,,-1,-1,,,2,"防御",4
"防具","骸骨のブーツ","通常","足",0,1,0,1,0,0,0,0,0,"骸骨",6,17,21,34.28,2.72,0,-1,,,-1,-1,,,56.87,2.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","骸骨のガーダー","通常","腰",0,1,0,1,0,0,0,0,0,"骸骨",10,24,28,44,3.6,0,-1,,,-1,-1,,,74,3.6,0,-1,,,-1,-1,,,2,"防御",4
"防具","骸骨のグラブ","通常","手",0,1,0,1,0,0,0,0,0,"骸骨",5,15,19,28.38,1.81,0,-1,,,-1,-1,,,43.38,1.81,0,-1,,,-1,-1,,,2,"防御",4
"防具","骸骨の兜","通常","兜",0,1,0,1,0,0,0,0,0,"骸骨",9,22,26,36.16,2.71,0,-1,,,-1,-1,,,58.56,2.72,0,-1,,,-1,-1,,,2,"防御",4
"防具","スフィンクスの鎧","通常","鎧",0,1,0,1,0,0,0,0,0,"スフィンクス",17,33,38,65.52,3.62,0,-1,,,-1,-1,,,95.52,3.62,0,-1,,,-1,-1,,,2,"防御",4
"防具","スフィンクスのブーツ","通常","足",0,1,0,1,0,0,0,0,0,"スフィンクス",9,22,27,47,2.7,0,-1,,,-1,-1,,,69.45,2.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","スフィンクスのガーダー","通常","腰",0,1,0,1,0,0,0,0,0,"スフィンクス",15,30,35,60.76,3.62,0,-1,,,-1,-1,,,90.76,3.62,0,-1,,,-1,-1,,,2,"防御",4
"防具","スフィンクスのグラブ","通常","手",0,1,0,1,0,0,0,0,0,"スフィンクス",8,20,24,36.68,1.83,0,-1,,,-1,-1,,,51.68,1.83,0,-1,,,-1,-1,,,2,"防御",4
"防具","スフィンクスの仮面","通常","兜",0,1,0,1,0,0,0,0,0,"スフィンクス",13,27,32,48.74,2.71,0,-1,,,-1,-1,,,71.29,2.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","オーディーンの鎧","通常","鎧",0,1,0,1,0,0,0,0,0,"オーディーン",22,41,46,87.14,3.62,0,-1,,,-1,-1,,,117.14,3.62,0,-1,,,-1,-1,,,2,"防御",4
"防具","オーディーンのブーツ","通常","足",0,1,0,1,0,0,0,0,0,"オーディーン",12,28,33,61.28,2.72,0,-1,,,-1,-1,,,83.87,2.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","オーディーンのガーダー","通常","腰",0,1,0,1,0,0,0,0,0,"オーディーン",20,38,43,83.52,3.62,0,-1,,,-1,-1,,,113.52,3.62,0,-1,,,-1,-1,,,2,"防御",4
"防具","オーディーンのグラブ","通常","手",0,1,0,1,0,0,0,0,0,"オーディーン",11,26,31,46.38,1.81,0,-1,,,-1,-1,,,61.38,1.81,0,-1,,,-1,-1,,,2,"防御",4
"防具","オーディーンの兜","通常","兜",0,1,0,1,0,0,0,0,0,"オーディーン",18,36,41,65,2.7,0,-1,,,-1,-1,,,87.45,2.71,0,-1,,,-1,-1,,,2,"防御",4
"防具","イクリプスアーマー","通常","鎧",0,1,0,0,0,0,0,0,0,"イクリプス",27,50,55,139.23,4.77,47,1.08,,,-1,-1,,,179,4.77,56,1.08,,,-1,-1,,,2,"防御",4
"防具","イクリプスブーツ","通常","足",0,1,0,0,0,0,0,0,0,"イクリプス",17,37,42,128,4.78,44,1.15,,,-1,-1,,,167.68,4.79,53,1.15,,,-1,-1,,,2,"防御",4
"防具","イクリプスガーダー","通常","腰",0,1,0,0,0,0,0,0,0,"イクリプス",25,46,51,129.69,4.77,44.82,1.09,,,-1,-1,,,169.46,4.77,53.82,1.09,,,-1,-1,,,2,"防御",4
"防具","イクリプスグラブ","通常","手",0,1,0,0,0,0,0,0,6,"イクリプス",15,33,38,116.84,4.79,41.91,1.09,,,-1,-1,,,156.69,4.77,50.91,1.09,,,-1,-1,,,2,"防御",4
"防具","イクリプスヘルム","通常","兜",0,1,0,0,0,0,0,0,0,"イクリプス",22,42,47,126.42,4.79,44.01,1.09,,,-1,-1,,,166.23,4.77,53.01,1.09,,,-1,-1,,,2,"防御",4
"防具","ルシファーの鎧","通常","鎧",0,1,0,0,0,0,0,0,0,"ルシファー",33,59,65,181.01,5.33,74.51,1.83,,,-1,-1,,,225,5.34,89.51,1.83,,,-1,-1,,,2,"防御",4
"防具","ルシファーのブーツ","通常","足",0,1,0,0,0,0,0,0,0,"ルシファー",22,44,50,154.36,5.33,42.08,0.99,,,-1,-1,,,198.68,5.33,50.03,0.99,,,-1,-1,,,2,"防御",4
"防具","ルシファーのガーダー","通常","腰",0,1,0,0,0,0,0,0,0,"ルシファー",30,55,61,172.03,5.33,71.51,1.83,,,-1,-1,,,216.35,5.33,86.51,1.83,,,-1,-1,,,2,"防御",4
"防具","ルシファーのグラブ","通常","手",0,1,0,0,0,0,0,0,5,"ルシファー",20,41,47,122.68,4.44,41,0.9,,,-1,-1,,,159.59,4.41,48.05,0.99,,,-1,-1,,,2,"防御",4
"防具","ルシファーの兜","通常","兜",0,1,0,0,0,0,0,0,0,"ルシファー",27,51,57,163,5.34,68.51,1.83,,,-1,-1,,,207.28,5.36,83.51,1.83,,,-1,-1,,,2,"防御",4
"防具","ブラックソウルアーマー","通常","鎧",0,1,0,0,0,0,0,0,0,"ブラックソウル",43,75,,221.06,4.99,85.74,1.63,,,-1,-1,,,262.11,4.99,99.38,1.62,,,-1,-1,,,2,"防御",4
"防具","ブラックソウルブーツ","通常","足",0,1,0,0,0,0,0,0,0,"ブラックソウル",31,57,,176.13,4.99,71.04,1.66,,,-1,-1,,,218,4.93,84.74,1.63,,,-1,-1,,,2,"防御",4
"防具","ブラックソウルガーダー","通常","腰",0,1,0,0,0,0,0,0,0,"ブラックソウル",39,70,,213.01,4.99,83.02,1.66,,,-1,-1,,,254.06,4.99,96.38,1.66,,,-1,-1,,,2,"防御",4
"防具","ブラックソウルグラブ","通常","手",0,1,0,0,0,0,0,0,6,"ブラックソウル",30,55,,163.11,4.99,66.7,1.66,,,-1,-1,,,204.13,4.99,80.37,1.63,,,-1,-1,,,2,"防御",4
"防具","ブラックソウルヘルム","通常","兜",0,1,0,0,0,0,0,0,0,"ブラックソウル",36,65,,201.1,4.99,79.38,1.62,,,-1,-1,,,242.13,4.99,92.9,1.62,,,-1,-1,,,2,"防御",4
"防具","ベノムミストアーマー","通常","鎧",0,1,0,0,0,0,0,380,0,"ベノムミスト",57,94,,212.13,3.99,85.64,1.36,,,-1,-1,,,245.13,3.99,96.89,1.37,,,-1,-1,,,2,"防御",4
"防具","ベノムミストブーツ","通常","足",0,1,0,0,0,0,0,380,0,"ベノムミスト",47,80,,177.02,3.99,73.27,1.39,,,-1,-1,,,210.02,3.99,84.63,1.37,,,-1,-1,,,2,"防御",4
"防具","ベノムミストガーダー","通常","腰",0,1,0,0,0,0,0,380,0,"ベノムミスト",55,90,,198.05,3.99,80.64,1.36,,,-1,-1,,,231.05,3.99,92,1.34,,,-1,-1,,,2,"防御",4
"防具","ベノムミストグラブ","通常","手",0,1,0,0,0,0,0,380,7,"ベノムミスト",44,74,,166.13,3.99,69.89,1.37,,,-1,-1,,,199.13,3.99,81,1.38,,,-1,-1,,,2,"防御",4
"防具","ベノムミストヘルム","通常","兜",0,1,0,0,0,0,0,380,0,"ベノムミスト",48,81,,186.08,3.99,76.64,1.36,,,-1,-1,,,219.08,3.99,87.89,1.37,,,-1,-1,,,2,"防御",4
"防具","エルフの鎧","通常","鎧",0,0,1,0,0,0,0,0,0,"エルフ",8,23,27,29,2.7,38,5.4,,,-1,-1,,,51.45,2.71,83,5.4,,,-1,-1,,,2,"防御",4
"防具","エルフのブーツ","通常","足",0,0,1,0,0,0,0,0,0,"エルフ",2,11,14,24.45,2.71,29,5.4,,,-1,-1,,,47,2.7,74,5.4,,,-1,-1,,,2,"防御",4
"防具","エルフのガーダー","通常","腰",0,0,1,0,0,0,0,0,0,"エルフ",6,20,24,27.16,2.71,34.32,5.42,,,-1,-1,,,49.56,2.72,79.32,5.42,,,-1,-1,,,2,"防御",4
"防具","エルフのグラブ","通常","手",0,0,1,0,0,0,0,0,4,"エルフ",2,12,16,23.58,2.71,27.16,5.42,,,-1,-1,,,46,2.72,72.16,5.42,,,-1,-1,,,2,"防御",4
"防具","エルフの兜","通常","兜",0,0,1,0,0,0,0,0,0,"エルフ",4,17,21,25.28,2.72,30.74,5.42,,,-1,-1,,,47.87,2.71,75.74,5.42,,,-1,-1,,,2,"防御",4
"防具","シルクの鎧","通常","鎧",0,0,1,0,0,0,0,0,0,"シルク",12,27,31,38,2.7,62,6.3,,,-1,-1,,,60.45,2.71,114.35,6.33,,,-1,-1,,,2,"防御",4
"防具","シルクのブーツ","通常","足",0,0,1,0,0,0,0,0,0,"シルク",4,14,17,33.45,2.71,51.35,6.33,,,-1,-1,,,56,2.7,104,6.3,,,-1,-1,,,2,"防御",4
"防具","シルクのガーダー","通常","腰",0,0,1,0,0,0,0,0,0,"シルク",10,23,27,36.16,2.71,57.68,6.33,,,-1,-1,,,58.56,2.72,110.03,6.33,,,-1,-1,,,2,"防御",4
"防具","シルクのグラブ","通常","手",0,0,1,0,0,0,0,0,8,"シルク",4,13,16,32.58,2.71,49.34,6.33,,,-1,-1,,,55,2.72,101.69,6.33,,,-1,-1,,,2,"防御",4
"防具","シルクの兜","通常","兜",0,0,1,0,0,0,0,0,0,"シルク",8,21,25,34.28,2.72,53.36,6.33,,,-1,-1,,,56.87,2.71,106.01,6.33,,,-1,-1,,,2,"防御",4
"防具","風の鎧","通常","鎧",0,0,1,0,0,0,0,0,0,"風",16,32,37,48.74,2.71,96.78,7.22,,,-1,-1,,,71.29,2.71,156.78,7.22,,,-1,-1,,,2,"防御",4
"防具","風のブーツ","通常","足",0,0,1,0,0,0,0,0,0,"風",7,19,23,44.29,2.71,84.78,7.22,,,-1,-1,,,66.74,2.71,144.78,7.22,,,-1,-1,,,2,"防御",4
"防具","風のガーダー","通常","腰",0,0,1,0,0,0,0,0,0,"風",14,29,34,47,2.7,92,7.2,,,-1,-1,,,69.45,2.71,152,7.2,,,-1,-1,,,2,"防御",4
"防具","風のグラブ","通常","手",0,0,1,0,0,0,0,0,10,"風",6,17,22,43.28,2.72,82.34,7.22,,,-1,-1,,,65.87,2.71,142.34,7.22,,,-1,-1,,,2,"防御",4
"防具","風の兜","通常","兜",0,0,1,0,0,0,0,0,0,"風",12,26,31,45.16,2.71,87.12,7.22,,,-1,-1,,,67.56,2.72,147.12,7.22,,,-1,-1,,,2,"防御",4
"防具","精霊の鎧","通常","鎧",0,0,1,0,0,0,0,0,0,"精霊",21,38,43,72.76,3.62,125.56,7.22,,,-1,-1,,,102.76,3.62,185.56,7.22,,,-1,-1,,,2,"防御",4
"防具","精霊のブーツ","通常","足",0,0,1,0,0,0,0,0,0,"精霊",10,25,30,68,3.6,116,7.2,,,-1,-1,,,98,3.6,176,7.2,,,-1,-1,,,2,"防御",4
"防具","精霊のガーダー","通常","腰",0,0,1,0,0,0,0,0,0,"精霊",18,35,40,70.38,3.62,120.78,7.22,,,-1,-1,,,100.38,3.62,180.78,7.22,,,-1,-1,,,2,"防御",4
"防具","精霊のグラブ","通常","手",0,0,1,0,0,0,0,0,4,"精霊",9,22,26,65.52,3.62,111.12,7.22,,,-1,-1,,,95.52,3.62,171.12,7.22,,,-1,-1,,,2,"防御",4
"防具","精霊の兜","通常","兜",0,0,1,0,0,0,0,0,0,"精霊",16,32,37,68,3.6,116,7.2,,,-1,-1,,,98,3.6,176,7.2,,,-1,-1,,,2,"防御",4
"防具","パルテナの鎧","通常","鎧",0,0,1,0,0,0,0,0,0,"パルテナ",29,50,55,88.38,3.62,156.78,7.22,,,-1,-1,,,118.38,3.62,216.78,7.22,,,-1,-1,,,2,"防御",4
"防具","パルテナのブーツ","通常","足",0,0,1,0,0,0,0,0,0,"パルテナ",16,34,38,82.38,3.62,144.78,7.22,,,-1,-1,,,112.38,3.62,204.78,7.22,,,-1,-1,,,2,"防御",4
"防具","パルテナのガーダー","通常","腰",0,0,1,0,0,0,0,0,0,"パルテナ",25,44,49,84.76,3.62,149.56,7.22,,,-1,-1,,,114.76,3.62,209.56,7.22,,,-1,-1,,,2,"防御",4
"防具","パルテナのグラブ","通常","手",0,0,1,0,0,0,0,0,6,"パルテナ",15,32,37,80,3.6,140,7.2,,,-1,-1,,,110,3.6,200,7.2,,,-1,-1,,,2,"防御",4
"防具","パルテナの兜","通常","兜",0,0,1,0,0,0,0,0,0,"パルテナ",23,42,47,83.52,3.62,147.12,7.22,,,-1,-1,,,113.52,3.62,207.12,7.22,,,-1,-1,,,2,"防御",4
"防具","アイリスアーマー","通常","鎧",0,0,1,0,0,0,0,0,0,"アイリス",36,60,65,132.46,4.54,177.35,6.33,,,-1,-1,,,170,4.5,230,6.3,,,-1,-1,,,2,"防御",4
"防具","アイリスブーツ","通常","足",0,0,1,0,0,0,0,0,0,"アイリス",23,44,49,122,4.5,162.68,6.33,,,-1,-1,,,159.46,4.54,215.03,6.33,,,-1,-1,,,2,"防御",4
"防具","アイリスガーダー","通常","腰",0,0,1,0,0,0,0,0,0,"アイリス",32,54,59,123.46,4.54,164.69,6.33,,,-1,-1,,,161,4.5,217.34,6.33,,,-1,-1,,,2,"防御",4
"防具","アイリスグラブ","通常","手",0,0,1,0,0,0,0,0,6,"アイリス",22,42,47,111.46,4.54,148.01,6.33,,,-1,-1,,,149,4.5,200.36,6.33,,,-1,-1,,,2,"防御",4
"防具","アイリスヘルム","通常","兜",0,0,1,0,0,0,0,0,0,"アイリス",30,52,57,120.46,4.54,160.67,6.33,,,-1,-1,,,158,4.5,213.02,6.33,,,-1,-1,,,2,"防御",4
"防具","エウロパの鎧","通常","鎧",0,0,1,0,0,0,0,0,0,"エウロパ",44,71,77,158,4.5,323.06,9.99,,,-1,-1,,,195.46,4.54,406.1,9.9,,,-1,-1,,,2,"防御",4
"防具","エウロパのブーツ","通常","足",0,0,1,0,0,0,0,0,0,"エウロパ",30,54,60,141.46,4.54,287.03,9.99,,,-1,-1,,,179,4.5,369.08,9.99,,,-1,-1,,,2,"防御",4
